prime,sub,amount,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,815726,
"NATIONAL CENTER FOR MANUFACTURING SCIENCES, INC.",MICHIGAN STATE UNIVERSITY,500106,
TRUSTEES OF THE COLORADO SCHOOL OF MINES,NORTH CAROLINA STATE UNIVERSITY,302290,
UNIVERSITY OF WISCONSIN SYSTEM,REGENTS OF THE UNIVERSITY OF IDAHO,118528,
WORCESTER POLYTECHNIC INSTITUTE,"PENNSYLVANIA STATE UNIVERSITY, THE",500000,
WASHINGTON STATE UNIVERSITY,"UNIVERSITY OF UTAH, THE",130179,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",245000,
STATE OF SOUTH DAKOTA-DIVISION OF OASI,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,50000,
"OHIO STATE UNIVERSITY, THE",QUESTEK INNOVATIONS LLC,619761,
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,VEXTEC CORPORATION,26333,
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"OCEANIT LABORATORIES, INC.",250000,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF ILLINOIS,124964,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",244999,
"WASHINGTON UNIVERSITY, THE",REACTION ENGINEERING INTERNATIONAL,161610,
"MASSACHUSETTS GENERAL HOSPITAL, THE","UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES, THE",224383,
UNIVERSITY OF FLORIDA,UNIVERSITY OF WISCONSIN SYSTEM,170626,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,1082303,
"NATIONAL CENTER FOR MANUFACTURING SCIENCES, INC.","PPG INDUSTRIES, INC.",40000,
"OHIO STATE UNIVERSITY, THE",COMMISSARIAT A ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,402964,
UNIVERSITY OF HOUSTON SYSTEM,WILLIAM MARSH RICE UNIVERSITY,200000,
"LELAND STANFORD JUNIOR UNIVERSITY, THE",PRESIDENT AND FELLOWS OF HARVARD COLLEGE,197783,
NORTH CAROLINA STATE UNIVERSITY,UNIVERSITY OF TENNESSEE,200000,
RUSH UNIVERSITY MEDICAL CENTER,UNIVERSITY OF ILLINOIS,131700,
"WASHINGTON UNIVERSITY, THE",REACTION ENGINEERING INTERNATIONAL,161610,
UNIVERSITY OF NEW ORLEANS RESEARCH & TECHNOLOGY FOUNDATION,"HAMMOND, CITY OF",60375,
"WASHINGTON UNIVERSITY, THE",LINDE INC.,89998,
DE PAUL UNIVERSITY,THE NATIONAL CENTER FOR GENOME RESOURCES,63403,
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,"ASPINITY, INC.",39520,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,202721,
UNIVERSITY OF WISCONSIN SYSTEM,REGENTS OF THE UNIVERSITY OF IDAHO,119990,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,815726,
UNIVERSITY OF CINCINNATI,UNIVERSITY OF ALABAMA,298633,
"OHIO STATE UNIVERSITY, THE",RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,172682,
UNIVERSITY OF FLORIDA,UNIVERSITY OF WISCONSIN SYSTEM,162738,
"WATER DEVELOPMENT BOARD, TEXAS",GREATER TEXOMA UTILITY AUTHORITY,1225000,
RUSH UNIVERSITY MEDICAL CENTER,UNIVERSITY OF ILLINOIS,266918,
WASHINGTON STATE UNIVERSITY,SOUTH DAKOTA STATE UNIVERSITY,102996,
"WASHINGTON UNIVERSITY, THE","UNIVERSITY OF CALIFORNIA, IRVINE",250000,
TRUSTEES OF THE COLORADO SCHOOL OF MINES,NORTH CAROLINA STATE UNIVERSITY,151754,
"ENVIRONMENTAL CONSERVATION, ALASKA DEPARTMENT OF","SITKA, CITY & BOROUGH OF",5079500,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,202721,
"WASHINGTON UNIVERSITY, THE",REACTION ENGINEERING INTERNATIONAL,161610,
UNIVERSITY OF CALIFORNIA SAN DIEGO,SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,60000,
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,"ASPINITY, INC.",40481,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF WISCONSIN SYSTEM,88651,
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"UNIVERSITY OF CALIFORNIA, IRVINE",548028,
UNIVERSITY OF MISSOURI SYSTEM,GEORGIA TECH RESEARCH CORPORATION,107301,
NORTH CAROLINA STATE UNIVERSITY,REGENTS OF THE UNIVERSITY OF IDAHO,75001,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF WISCONSIN SYSTEM,90674,
TEXAS A&M ENGINEERING EXPERIMENT STATION,OKLAHOMA STATE UNIVERSITY,86080,
"NATIONAL CENTER FOR MANUFACTURING SCIENCES, INC.","PPG INDUSTRIES, INC.",350000,
"UNIVERSITY OF NEW MEXICO, THE",REGENTS OF THE UNIVERSITY OF MICHIGAN,129449,
WASHINGTON STATE UNIVERSITY,UNIVERSITY OF MISSISSIPPI,83000,
WASHINGTON STATE UNIVERSITY,CASE WESTERN RESERVE UNIVERSITY,212000,
UNIVERSITY OF MAINE SYSTEM,WESTERN NEW ENGLAND UNIVERSITY,365000,
"OHIO STATE UNIVERSITY, THE","CITRINE INFORMATICS, INC.",119723,
"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE","PENNSYLVANIA STATE UNIVERSITY, THE",25000,
,"PENNSYLVANIA STATE UNIVERSITY, THE",121741, 
UNIVERSITY OF WISCONSIN SYSTEM,CREARE LLC,30025,
"HEALTH, WASHINGTON STATE DEPARTMENT OF",EVERGREEN WATER & IMPROVEMENT ASSOCIATION,30000,
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,VEXTEC CORPORATION,26333,
UNIVERSITY OF HOUSTON SYSTEM,WILLIAM MARSH RICE UNIVERSITY,132955,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",245000,
"HOUSING, ARIZONA DEPARTMENT OF","PARKER, TOWN OF",193394,
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"OCEANIT LABORATORIES, INC.",500000,
UNIVERSITY OF SOUTH CAROLINA,GEORGIA TECH RESEARCH CORPORATION,26959,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,202721,
TEXAS A&M ENGINEERING EXPERIMENT STATION,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,62794,
UNIVERSITY OF MAINE SYSTEM,WESTERN NEW ENGLAND UNIVERSITY,365000,
GEORGE MASON UNIVERSITY,"UNIVERSITY OF SOUTHERN MISSISSIPPI, THE",199289,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",244999,
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,THE UNIVERSITY OF SOUTH DAKOTA,737145,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",164628,
UNIVERSITY OF MAINE SYSTEM,UNIVERSITY OF MASSACHUSETTS,800817,
"WASHINGTON UNIVERSITY, THE","UNIVERSITY OF CALIFORNIA, IRVINE",1,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF ILLINOIS,128679,
NORTHWESTERN UNIVERSITY,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",158020,
"WATER DEVELOPMENT BOARD, TEXAS","PADUCAH, CITY OF",3392958,
GEORGIA TECH RESEARCH CORPORATION,"KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.",213077,
"OHIO STATE UNIVERSITY, THE",UNIVERSITY OF NORTH TEXAS,540119,
REGENTS OF THE UNIVERSITY OF MICHIGAN,"PENNSYLVANIA STATE UNIVERSITY, THE",125528,
UNIVERSITY OF MAINE SYSTEM,WESTERN NEW ENGLAND UNIVERSITY,105000,
NATIONAL CENTER FOR DEFENSE MANUFACTURING AND MACHINING,"3D SYSTEMS, INC.",799917,
UNIVERSITY OF CALIFORNIA SAN DIEGO,UNIVERSITY OF WASHINGTON,28000,
"OHIO STATE UNIVERSITY, THE",SAFE INC.,126624,
UNIVERSITY OF CONNECTICUT,UNIVERSITY OF RHODE ISLAND,54731,
"GINER, INC.",UNIVERSITY OF CONNECTICUT,120000,
REGENTS OF THE UNIVERSITY OF MICHIGAN,"PENNSYLVANIA STATE UNIVERSITY, THE",127731,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,1082303,
"WASHINGTON UNIVERSITY, THE","UNIVERSITY OF CALIFORNIA, IRVINE",250000,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF ILLINOIS,121357,
UNIVERSITY OF WISCONSIN SYSTEM,REGENTS OF THE UNIVERSITY OF IDAHO,60819,
WASHINGTON STATE UNIVERSITY,TEXAS A&M ENGINEERING EXPERIMENT STATION,140345,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,1082303,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,1,
UNIVERSITY OF SOUTH CAROLINA,CLEMSON UNIVERSITY,170000,
RUSH UNIVERSITY MEDICAL CENTER,UNIVERSITY OF ILLINOIS,130293,
REGENTS OF THE UNIVERSITY OF MICHIGAN,WESTINGHOUSE ELECTRIC COMPANY LLC,32851,
UNIVERSITY OF SOUTH CAROLINA,GEORGIA TECH RESEARCH CORPORATION,23273,
UNIVERSITY OF MAINE SYSTEM,WESTERN NEW ENGLAND UNIVERSITY,365000,
"ENVIRONMENTAL QUALITY, OKLAHOMA DEPARTMENT OF","JET, TOWN OF",861500,
UNIVERSITY OF NEW MEXICO,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,127905,
UNIVERSITY OF MAINE SYSTEM,UNIVERSITY OF MASSACHUSETTS,45808,
WASHINGTON STATE UNIVERSITY,FLORIDA ATLANTIC UNIVERSITY,99999,
UNIVERSITY OF NEBRASKA,UNIVERSITY OF NORTH TEXAS,100000,
SRI INTERNATIONAL,"SOLAR POWER & LIGHT, LLC",200000,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,250000,
UNIVERSITY OF FLORIDA,UNIVERSITY OF WISCONSIN SYSTEM,166636,
"UNITED STATES ENDOWMENT FOR FORESTRY AND COMMUNITIES, INC.",University Of Wisconsin System (inc),126787,
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",NORTH CAROLINA STATE UNIVERSITY,273625,
NORTH CAROLINA STATE UNIVERSITY,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",96775,
"WASHINGTON UNIVERSITY, THE",LINDE INC.,89998,
"NATIONAL CENTER FOR MANUFACTURING SCIENCES, INC.","PPG INDUSTRIES, INC.",775793,
RENSSELAER POLYTECHNIC INSTITUTE,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,560000,
"NATURAL RESOURCES, WISCONSIN DEPT OF",MILWAUKEE METROPOLITAN SEWERAGE DISTRICT,11032218,
KENTUCKY INFRASTRUCTURE AUTHORITY,"LOUISA, CITY OF",323730,
UNIVERSITY OF MAINE SYSTEM,UNIVERSITY OF MASSACHUSETTS,800817,
UNIVERSITY OF HOUSTON SYSTEM,WILLIAM MARSH RICE UNIVERSITY,62292,
UNIVERSITY OF NEW ORLEANS RESEARCH & TECHNOLOGY FOUNDATION,"HAMMOND, CITY OF",47580,
NORTH CAROLINA STATE UNIVERSITY,UNIVERSITY OF SOUTH CAROLINA,156998,
UNIVERSITY OF MISSOURI SYSTEM,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,54000,
GEORGIA TECH RESEARCH CORPORATION,"TOURNEY CONSULTING GROUP, LLC",266342,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,1,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",244999,
COLORADO STATE UNIVERSITY,RELIANCE LABORATORIES L L C,49920,
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,TRUSTEES OF DARTMOUTH COLLEGE,2879862,
"OHIO STATE UNIVERSITY, THE",RENSSELAER POLYTECHNIC INSTITUTE,156945,
"TRANSPORTATION, VIRGINIA DEPARTMENT OF",VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,140000,
UNIVERSITY OF NOTRE DAME DU LAC,REGENTS OF THE UNIVERSITY OF MICHIGAN,136538,
"STATE LANDS AND INVESTMENTS, WYOMING OFFICE OF",Northwest Rural Water District,2490600,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,250000,
UNIVERSITY OF PITTSBURGH THE,TRUSTEES OF THE COLORADO SCHOOL OF MINES,280000,
"ENVIRONMENTAL CONSERVATION, ALASKA DEPARTMENT OF","ANCHORAGE, MUNICIPALITY OF (INC)",1650000,
UNIVERSITY OF SOUTH CAROLINA,CLEMSON UNIVERSITY,170000,
"ENVIRONMENTAL CONSERVATION, ALASKA DEPARTMENT OF","ANCHORAGE, MUNICIPALITY OF (INC)",720000,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",164628,
"OHIO STATE UNIVERSITY, THE","PENNSYLVANIA STATE UNIVERSITY, THE",148060,
GEORGIA TECH RESEARCH CORPORATION,KENNESAW STATE UNIVERSITY,139895,
WASHINGTON STATE UNIVERSITY,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",120000,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,815726,
"NATURAL RESOURCES, WISCONSIN DEPT OF",MILWAUKEE METROPOLITAN SEWERAGE DISTRICT,11032218,
WASHINGTON STATE UNIVERSITY,TENNESSEE STATE UNIVERSITY,60000,
"OHIO STATE UNIVERSITY, THE",LOUISIANA STATE UNIVERSITY,86000,
TEXAS A&M ENGINEERING EXPERIMENT STATION,OKLAHOMA STATE UNIVERSITY,86080,
UNIVERSITY OF DELAWARE,CASE WESTERN RESERVE UNIVERSITY,815726,
INSTITUTE OF GAS TECHNOLOGY,MICHIGAN STATE UNIVERSITY,211859,
"WASHINGTON UNIVERSITY, THE","ELECTRIC POWER RESEARCH INSTITUTE, INC.",1,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",245000,
"OHIO STATE UNIVERSITY, THE",UNIVERSITY OF NORTH TEXAS,130000,
