chemical,amount,agency,contractor
Anti-icing / Deicing product,"32,340.50",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,153.60",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,153.60",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,153.60",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"14,298.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"14,298.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,496.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,011.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,011.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,011.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,011.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,011.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,238.22",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,238.22",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,423.49",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,423.49",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,268.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"15,634.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,260.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,260.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"19,740.60",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,225.36",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,225.36",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,225.36",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,507.61",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,686.73",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,686.73",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,686.73",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,686.73",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"17,134.14",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"20,200.65",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"17,134.14",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,315.50",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"2,821.29",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,729.50",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,263.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,263.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,263.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,978.30",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,467.09",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,467.09",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,037.50",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,041.20",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,041.20",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,041.20",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,839.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,498.50",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"17,009.19",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,539.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,539.00",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"22,694.70",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"15,562.08",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,668.42",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,810.61",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,043.78",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,668.42",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,668.42",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"19,209.30",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,651.27",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,651.27",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,944.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,944.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"16,986.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,787.57",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,787.57",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,303.46",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,303.46",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"14,939.05",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"14,939.05",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,448.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,448.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,147.65",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,147.65",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,881.66",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,881.66",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,869.27",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,869.27",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,786.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,786.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,786.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,786.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,073.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,073.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,018.88",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,018.88",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,473.57",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,473.57",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,448.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,448.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,719.07",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,719.07",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,881.66",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,881.66",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,935.19",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,935.19",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,572.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,680.44",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,680.44",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,426.67",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,426.67",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,527.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,745.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,745.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,986.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"27,101.59",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"27,101.59",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,139.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,252.53",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,252.53",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,138.59",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,610.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,610.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"21,610.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,693.57",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,480.75",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,480.75",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,480.75",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"62,279.36",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,854.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,854.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,854.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,331.58",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,119.08",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,119.08",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,119.08",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,196.02",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,592.63",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,592.63",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,592.63",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,592.63",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,463.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,463.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,463.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,463.52",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,384.03",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,384.03",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,384.03",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,494.21",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,494.21",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"55,634.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"55,634.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"55,634.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"55,634.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"55,634.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,496.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,496.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,315.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,315.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,315.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,315.83",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,985.02",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,985.02",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,985.02",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"63,985.02",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,693.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,693.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,693.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,693.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,291.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,291.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,291.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,291.24",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,690.96",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,690.96",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,962.33",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,962.33",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"64,097.93",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,933.95",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,933.95",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,802.17",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,549.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,549.56",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,819.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"64,492.93",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,552.49",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,552.49",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,753.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,358.05",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,358.05",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,521.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"18,332.38",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,077.67",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,094.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,190.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,621.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"15,972.88",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"15,972.88",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,706.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,521.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,094.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"26,016.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,898.99",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"52,457.21",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"52,457.21",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"33,077.67",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"22,398.85",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"22,398.85",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,318.31",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,318.31",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"27,468.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,514.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,514.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,599.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,658.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,658.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,410.69",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"76,314.62",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"76,582.35",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,026.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,618.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,618.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"28,909.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,026.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,026.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,006.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"31,989.67",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"30,433.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"32,006.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"25,842.47",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,895.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,895.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,895.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
Anti-icing / Deicing product,"29,895.97",DEFENSE LOGISTICS AGENCY,DEFENSE ENERGY SYNDICATE LLC
